label,zip_member,local_path,sha256
authentic,CASIA2/Au/Au_nat_30559.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_01.jpg,9aeac5e67106cb749406ac956aca7568dd1a6d0fe504d23596c3796c1d7c74ca
authentic,CASIA2/Au/Au_ani_30615.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_02.jpg,6e3f12f2ad6679d5902c826a1167c2dfffa545d906788450306aadd3ec7b431a
authentic,CASIA2/Au/Au_ani_10201.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_03.jpg,a3f202d4ef05ed6145eac4fa590903c2e57045076d6867caef0c8447f72e708e
authentic,CASIA2/Au/Au_pla_30428.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_04.jpg,d808edd1317770fe0e478458751cd0ca1a9005181df05e2ad330c76946a6a6e4
authentic,CASIA2/Au/Au_art_00085.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_05.jpg,fe51ed402d4b1f3f9de21ace4b10a81e34da1de6f2d0fb4240c9374a6b8f4e3a
authentic,CASIA2/Au/Au_arc_30681.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_06.jpg,ff8c7ef38517dcde3e77a090714145c519accc3ef2f67229681c699ebe2c1d85
authentic,CASIA2/Au/Au_arc_30503.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_07.jpg,a506e3bb97441ec9e0505e4774a7d7d778c7417f2640108a4680dda81dca86bf
authentic,CASIA2/Au/Au_arc_00050.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_08.jpg,67a3ad6c305e0128190570b9ce07e07adb0c3d1690c7a37b2e3378678911d3d2
authentic,CASIA2/Au/Au_pla_30387.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_09.jpg,29ff254471a2b391c984e4a823930e608a0734d6482f35044462c34d71a0fa61
authentic,CASIA2/Au/Au_ani_30542.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_10.jpg,4d3f20cd0c8e78d96ba2b983327b43b82a444b4afe3bb96c393a6d27b9cd2a11
authentic,CASIA2/Au/Au_pla_10125.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_11.jpg,517af0c66033752358aa72f419b854415baac82b771711bc52460a56079c4f12
authentic,CASIA2/Au/Au_pla_30421.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_12.jpg,a7806e7bb9f490a6ae81ce0f0d996a7ba124b11cb2201b6e5f44f17227ffb028
authentic,CASIA2/Au/Au_sec_30698.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_13.jpg,d67560053d59fc75c40ca22eb8d767d15da23d28fee406bb0ae792a28f6964ef
authentic,CASIA2/Au/Au_nat_00060.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_14.jpg,989030f9c7c9d0a22be031371d1bccea9476106ee3a1e83072b6592e9941b190
authentic,CASIA2/Au/Au_ani_30415.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_15.jpg,2b042938441eb945a7cf2e810d87f35d3a7b3cbe92340648a6bbfc6a8dd83523
authentic,CASIA2/Au/Au_nat_30158.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_16.jpg,1c3df654f06e541bced019913ed1a44af3353dcba504ef044ec5d7c59c7fee32
authentic,CASIA2/Au/Au_cha_30114.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_17.jpg,bdabddae47a71b40c63c94aefd74daf91b9a13c22c73d002aa067c47a434806d
authentic,CASIA2/Au/Au_ani_20033.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_18.jpg,96cb68987bbdae49c698d3d0e088e55bec81b1ee11952df215c241da623cf373
