expected_label,demo_filename,demo_local_path,local_path,zip_member,cnn_pred_label,cnn_p_authentic,cnn_p_forged,hybrid_pred_label,hybrid_p_forged,hybrid_confidence,active_release,feature_schema_version,demo_pred_label,demo_confidence_percent
authentic,authentic_01.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\demo_pack\selected_good_cases\authentic\authentic_01.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_20.jpg,CASIA2/Au/Au_ani_30470.jpg,authentic,0.9821462631225586,0.017853736877441406,authentic,0.00048745915961350306,0.9995125408403865,run_20260306_055001,hybrid_v3_casia_columbia,authentic,99.39
authentic,authentic_02.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\demo_pack\selected_good_cases\authentic\authentic_02.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_41.jpg,CASIA2/Au/Au_sec_20091.jpg,authentic,0.8142541646957397,0.18574583530426025,authentic,0.0018056141440337208,0.9981943858559663,run_20260306_055001,hybrid_v3_casia_columbia,authentic,99.86
authentic,authentic_03.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\demo_pack\selected_good_cases\authentic\authentic_03.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_28.jpg,CASIA2/Au/Au_pla_30219.jpg,authentic,0.9875872731208801,0.012412726879119873,authentic,0.002724134882398607,0.9972758651176014,run_20260306_055001,hybrid_v3_casia_columbia,authentic,96.27
authentic,authentic_04.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\demo_pack\selected_good_cases\authentic\authentic_04.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_09.jpg,CASIA2/Au/Au_pla_30387.jpg,authentic,0.9989960193634033,0.0010039806365966797,authentic,0.004655680622019058,0.995344319377981,run_20260306_055001,hybrid_v3_casia_columbia,authentic,99.52
authentic,authentic_05.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\demo_pack\selected_good_cases\authentic\authentic_05.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_12.jpg,CASIA2/Au/Au_pla_30421.jpg,authentic,0.9885433912277222,0.011456608772277832,authentic,0.00965055601295159,0.9903494439870484,run_20260306_055001,hybrid_v3_casia_columbia,authentic,95.56
authentic,authentic_06.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\demo_pack\selected_good_cases\authentic\authentic_06.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_19.jpg,CASIA2/Au/Au_ani_20017.jpg,authentic,0.8227991461753845,0.17720085382461548,authentic,0.011986173798038834,0.9880138262019612,run_20260306_055001,hybrid_v3_casia_columbia,authentic,97.76
authentic,authentic_07.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\demo_pack\selected_good_cases\authentic\authentic_07.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_04.jpg,CASIA2/Au/Au_pla_30428.jpg,authentic,0.9847573041915894,0.015242695808410645,authentic,0.013359806495600143,0.9866401935043999,run_20260306_055001,hybrid_v3_casia_columbia,authentic,95.74
authentic,authentic_08.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\demo_pack\selected_good_cases\authentic\authentic_08.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_06.jpg,CASIA2/Au/Au_arc_30681.jpg,authentic,0.9735370874404907,0.026462912559509277,authentic,0.013849067748384427,0.9861509322516155,run_20260306_055001,hybrid_v3_casia_columbia,authentic,93.20
authentic,authentic_09.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\demo_pack\selected_good_cases\authentic\authentic_09.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_22.jpg,CASIA2/Au/Au_arc_30580.jpg,authentic,0.9997420310974121,0.0002579689025878906,authentic,0.015270602074749189,0.9847293979252508,run_20260306_055001,hybrid_v3_casia_columbia,authentic,93.11
authentic,authentic_10.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\demo_pack\selected_good_cases\authentic\authentic_10.jpg,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\casia_same_domain_100\authentic\authentic_38.jpg,CASIA2/Au/Au_sec_30511.jpg,authentic,0.9966686964035034,0.003331303596496582,authentic,0.017032777011243765,0.9829672229887563,run_20260306_055001,hybrid_v3_casia_columbia,authentic,90.44
